park_entrance,lng_84,lat_84,geometry
1,118.7827602,32.07269898,POINT (118.7827602 32.07269898)
2,118.7916273,32.06426886,POINT (118.7916273 32.06426886)
3,118.8044729,32.06310217,POINT (118.8044729 32.06310217)
4,118.8060769,32.06121518,POINT (118.8060769 32.06121518)
5,118.8077312,32.06121318,POINT (118.8077312 32.06121318)
6,118.8085591,32.0649779,POINT (118.8085591 32.0649779)
7,118.8063428,32.06697608,POINT (118.8063428 32.06697608)
8,118.807969,32.07187197,POINT (118.807969 32.07187197)
9,118.8036074,32.07404821,POINT (118.8036074 32.07404821)
10,118.8015292,32.07802975,POINT (118.8015292 32.07802975)
11,118.7999843,32.07981613,POINT (118.7999843 32.07981613)
12,118.7973337,32.08332956,POINT (118.7973337 32.08332956)
13,118.7960825,32.08407374,POINT (118.7960825 32.08407374)
14,118.7942872,32.08513499,POINT (118.7942872 32.08513499)
15,118.7918578,32.08625126,POINT (118.7918578 32.08625126)
16,118.7916926,32.08650463,POINT (118.7916926 32.08650463)
17,118.7913819,32.08667728,POINT (118.7913819 32.08667728)
18,118.7911163,32.08681491,POINT (118.7911163 32.08681491)
19,118.7907244,32.08703396,POINT (118.7907244 32.08703396)
20,118.790549,32.08711848,POINT (118.790549 32.08711848)
21,118.7904318,32.08719885,POINT (118.7904318 32.08719885)
22,118.7891707,32.08794163,POINT (118.7891707 32.08794163)
23,118.7880937,32.08853391,POINT (118.7880937 32.08853391)
24,118.7854652,32.08804748,POINT (118.7854652 32.08804748)
25,118.7839647,32.0898866,POINT (118.7839647 32.0898866)
26,118.7813731,32.0795203,POINT (118.7813731 32.0795203)
